GeoFips,GeoName,LineCode,Description,2019
0,United States,64,      Management of companies and enterprises,434360
0,United States,65,      Administrative and support and waste management and remediation services,579608
0,United States,66,        Administrative and support services,(NA)
0,United States,67,        Waste management and remediation services,(NA)
0,United States,68,"    Educational services, health care, and social assistance",1665376
0,United States,69,      Educational services,218787
0,United States,70,      Health care and social assistance,1448277
0,United States,71,        Ambulatory health care services,(NA)
0,United States,72,        Hospitals,(NA)
0,United States,73,        Nursing and residential care facilities,(NA)
0,United States,74,        Social assistance,(NA)
0,United States,75,"    Arts, entertainment, recreation, accommodation, and food services",721680
0,United States,76,"      Arts, entertainment, and recreation",199403
0,United States,77,"        Performing arts, spectator sports, museums, and related activities",(NA)
0,United States,78,"        Amusement, gambling, and recreation industries",(NA)
0,United States,79,      Accommodation and food services,522404
0,United States,80,        Accommodation,(NA)
0,United States,81,        Food services and drinking places,(NA)
0,United States,82,    Other services (except government and government enterprises),369097
0,United States,83,  Government and government enterprises,2211425
0,United States,84,    Federal civilian,(NA)
0,United States,85,    Military,(NA)
0,United States,86,    State and local,(NA)
0,United States,,Addenda:,
0,United States,87,Natural resources and mining,784954.5
0,United States,88,Trade,2266732
0,United States,89,Transportation and utilities,850118.4
0,United States,91,Private goods-producing industries 2/,3585121
0,United States,92,Private services-providing industries 3/,13173705
1000,Alabama,1,All industry total,202940.3
1000,Alabama,2,  Private industries,171330.7
1000,Alabama,3,"    Agriculture, forestry, fishing and hunting",2737.4
1000,Alabama,4,      Farms,(NA)
1000,Alabama,5,"      Forestry, fishing, and related activities",(NA)
1000,Alabama,6,"    Mining, quarrying, and oil and gas extraction",4050.6
1000,Alabama,7,      Oil and gas extraction,(NA)
1000,Alabama,8,      Mining (except oil and gas),(NA)
1000,Alabama,9,      Support activities for mining,(NA)
1000,Alabama,10,    Utilities,6158.2
1000,Alabama,11,    Construction,6202.7
1000,Alabama,12,    Manufacturing,34966.5
1000,Alabama,13,      Durable goods manufacturing,22177
1000,Alabama,14,        Wood product manufacturing,(NA)
1000,Alabama,15,        Nonmetallic mineral product manufacturing,(NA)
1000,Alabama,16,        Primary metal manufacturing,(NA)
1000,Alabama,17,        Fabricated metal product manufacturing,(NA)
1000,Alabama,18,        Machinery manufacturing,(NA)
1000,Alabama,19,        Computer and electronic product manufacturing,(NA)
1000,Alabama,20,"        Electrical equipment, appliance, and component manufacturing",(NA)
1000,Alabama,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",(NA)
1000,Alabama,22,        Other transportation equipment manufacturing,(NA)
1000,Alabama,23,        Furniture and related product manufacturing,(NA)
1000,Alabama,24,        Miscellaneous manufacturing,(NA)
1000,Alabama,25,      Nondurable goods manufacturing,12762.5
1000,Alabama,26,        Food and beverage and tobacco product manufacturing,(NA)
1000,Alabama,27,        Textile mills and textile product mills,(NA)
1000,Alabama,28,"        Apparel, leather, and allied product manufacturing",(NA)
1000,Alabama,29,        Paper manufacturing,(NA)
1000,Alabama,30,        Printing and related support activities,(NA)
1000,Alabama,31,        Petroleum and coal products manufacturing,(NA)
1000,Alabama,32,        Chemical manufacturing,(NA)
1000,Alabama,33,        Plastics and rubber products manufacturing,(NA)
1000,Alabama,34,    Wholesale trade,11480.1
1000,Alabama,35,    Retail trade,15604.6
1000,Alabama,36,    Transportation and warehousing,5172.1
1000,Alabama,37,      Air transportation,(NA)
1000,Alabama,38,      Rail transportation,(NA)
1000,Alabama,39,      Water transportation,(NA)
1000,Alabama,40,      Truck transportation,(NA)
1000,Alabama,41,      Transit and ground passenger transportation,(NA)
1000,Alabama,42,      Pipeline transportation,(NA)
1000,Alabama,43,      Other transportation and support activities,(NA)
1000,Alabama,44,      Warehousing and storage,(NA)
1000,Alabama,45,    Information,5827.9
1000,Alabama,46,      Publishing industries (except Internet),(NA)
1000,Alabama,47,      Motion picture and sound recording industries,(NA)
1000,Alabama,48,      Broadcasting (except Internet) and telecommunications,(NA)
1000,Alabama,49,"      Data processing, hosting, and other information services",(NA)
1000,Alabama,50,"    Finance, insurance, real estate, rental, and leasing",30613.7
1000,Alabama,51,      Finance and insurance,9945.6
1000,Alabama,52,"        Monetary Authorities- central bank, credit intermediation, and related services",(NA)
1000,Alabama,53,"        Securities, commodity contracts, and other financial investments and related activities",(NA)
1000,Alabama,54,        Insurance carriers and related activities,(NA)
1000,Alabama,55,"        Funds, trusts, and other financial vehicles",(NA)
1000,Alabama,56,      Real estate and rental and leasing,20702.7
1000,Alabama,57,        Real estate,(NA)
1000,Alabama,58,        Rental and leasing services and lessors of nonfinancial intangible assets,(NA)
1000,Alabama,59,    Professional and business services,21434.9
1000,Alabama,60,"      Professional, scientific, and technical services",13498.2
1000,Alabama,61,        Legal services,(NA)
1000,Alabama,62,        Computer systems design and related services,(NA)
1000,Alabama,63,"        Miscellaneous professional, scientific, and technical services",(NA)
1000,Alabama,64,      Management of companies and enterprises,2356.9
1000,Alabama,65,      Administrative and support and waste management and remediation services,5596.9
1000,Alabama,66,        Administrative and support services,(NA)
1000,Alabama,67,        Waste management and remediation services,(NA)
1000,Alabama,68,"    Educational services, health care, and social assistance",16800.4
1000,Alabama,69,      Educational services,1153.1
1000,Alabama,70,      Health care and social assistance,15661.9
1000,Alabama,71,        Ambulatory health care services,(NA)
1000,Alabama,72,        Hospitals,(NA)
1000,Alabama,73,        Nursing and residential care facilities,(NA)
1000,Alabama,74,        Social assistance,(NA)
1000,Alabama,75,"    Arts, entertainment, recreation, accommodation, and food services",6064
1000,Alabama,76,"      Arts, entertainment, and recreation",772.1
1000,Alabama,77,"        Performing arts, spectator sports, museums, and related activities",(NA)
1000,Alabama,78,"        Amusement, gambling, and recreation industries",(NA)
1000,Alabama,79,      Accommodation and food services,5293.9
1000,Alabama,80,        Accommodation,(NA)
1000,Alabama,81,        Food services and drinking places,(NA)
1000,Alabama,82,    Other services (except government and government enterprises),4809.6
1000,Alabama,83,  Government and government enterprises,31697.5
1000,Alabama,84,    Federal civilian,(NA)
1000,Alabama,85,    Military,(NA)
1000,Alabama,86,    State and local,(NA)
1000,Alabama,,Addenda:,
1000,Alabama,87,Natural resources and mining,6857.5
1000,Alabama,88,Trade,27048.1
1000,Alabama,89,Transportation and utilities,11319.9
1000,Alabama,91,Private goods-producing industries 2/,47791.4
1000,Alabama,92,Private services-providing industries 3/,123503.5
2000,Alaska,1,All industry total,54442.9
2000,Alaska,2,  Private industries,45165.4
2000,Alaska,3,"    Agriculture, forestry, fishing and hunting",410.7
2000,Alaska,4,      Farms,(NA)
2000,Alaska,5,"      Forestry, fishing, and related activities",(NA)
2000,Alaska,6,"    Mining, quarrying, and oil and gas extraction",14793.8
2000,Alaska,7,      Oil and gas extraction,(NA)
2000,Alaska,8,      Mining (except oil and gas),(NA)
2000,Alaska,9,      Support activities for mining,(NA)
2000,Alaska,10,    Utilities,701.2
2000,Alaska,11,    Construction,1511
2000,Alaska,12,    Manufacturing,1718.7
2000,Alaska,13,      Durable goods manufacturing,205.1
2000,Alaska,14,        Wood product manufacturing,(NA)
2000,Alaska,15,        Nonmetallic mineral product manufacturing,(NA)
2000,Alaska,16,        Primary metal manufacturing,(NA)
2000,Alaska,17,        Fabricated metal product manufacturing,(NA)
2000,Alaska,18,        Machinery manufacturing,(NA)
2000,Alaska,19,        Computer and electronic product manufacturing,(NA)
2000,Alaska,20,"        Electrical equipment, appliance, and component manufacturing",(NA)
2000,Alaska,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",(NA)
2000,Alaska,22,        Other transportation equipment manufacturing,(NA)
2000,Alaska,23,        Furniture and related product manufacturing,(NA)
2000,Alaska,24,        Miscellaneous manufacturing,(NA)
2000,Alaska,25,      Nondurable goods manufacturing,1523.8
2000,Alaska,26,        Food and beverage and tobacco product manufacturing,(NA)
2000,Alaska,27,        Textile mills and textile product mills,(NA)
2000,Alaska,28,"        Apparel, leather, and allied product manufacturing",(NA)
2000,Alaska,29,        Paper manufacturing,(NA)
2000,Alaska,30,        Printing and related support activities,(NA)
2000,Alaska,31,        Petroleum and coal products manufacturing,(NA)
2000,Alaska,32,        Chemical manufacturing,(NA)
2000,Alaska,33,        Plastics and rubber products manufacturing,(NA)
2000,Alaska,34,    Wholesale trade,1312.8
2000,Alaska,35,    Retail trade,2325.9
2000,Alaska,36,    Transportation and warehousing,6018.4
2000,Alaska,37,      Air transportation,(NA)
2000,Alaska,38,      Rail transportation,(NA)
2000,Alaska,39,      Water transportation,(NA)
2000,Alaska,40,      Truck transportation,(NA)
2000,Alaska,41,      Transit and ground passenger transportation,(NA)
2000,Alaska,42,      Pipeline transportation,(NA)
2000,Alaska,43,      Other transportation and support activities,(NA)
2000,Alaska,44,      Warehousing and storage,(NA)
2000,Alaska,45,    Information,1556.5
2000,Alaska,46,      Publishing industries (except Internet),(NA)
2000,Alaska,47,      Motion picture and sound recording industries,(NA)
2000,Alaska,48,      Broadcasting (except Internet) and telecommunications,(NA)
2000,Alaska,49,"      Data processing, hosting, and other information services",(NA)
2000,Alaska,50,"    Finance, insurance, real estate, rental, and leasing",5487.8
2000,Alaska,51,      Finance and insurance,909.6
2000,Alaska,52,"        Monetary Authorities- central bank, credit intermediation, and related services",(NA)
2000,Alaska,53,"        Securities, commodity contracts, and other financial investments and related activities",(NA)
2000,Alaska,54,        Insurance carriers and related activities,(NA)
2000,Alaska,55,"        Funds, trusts, and other financial vehicles",(NA)
2000,Alaska,56,      Real estate and rental and leasing,4594.2
2000,Alaska,57,        Real estate,(NA)
2000,Alaska,58,        Rental and leasing services and lessors of nonfinancial intangible assets,(NA)
2000,Alaska,59,    Professional and business services,3206.6
2000,Alaska,60,"      Professional, scientific, and technical services",1826.4
2000,Alaska,61,        Legal services,(NA)
2000,Alaska,62,        Computer systems design and related services,(NA)
2000,Alaska,63,"        Miscellaneous professional, scientific, and technical services",(NA)
2000,Alaska,64,      Management of companies and enterprises,450.8
2000,Alaska,65,      Administrative and support and waste management and remediation services,940.1
2000,Alaska,66,        Administrative and support services,(NA)
2000,Alaska,67,        Waste management and remediation services,(NA)
2000,Alaska,68,"    Educational services, health care, and social assistance",4228.8
2000,Alaska,69,      Educational services,179.3
2000,Alaska,70,      Health care and social assistance,4051.3
2000,Alaska,71,        Ambulatory health care services,(NA)
2000,Alaska,72,        Hospitals,(NA)
2000,Alaska,73,        Nursing and residential care facilities,(NA)
2000,Alaska,74,        Social assistance,(NA)
2000,Alaska,75,"    Arts, entertainment, recreation, accommodation, and food services",1555.4
2000,Alaska,76,"      Arts, entertainment, and recreation",286.1
2000,Alaska,77,"        Performing arts, spectator sports, museums, and related activities",(NA)
2000,Alaska,78,"        Amusement, gambling, and recreation industries",(NA)
2000,Alaska,79,      Accommodation and food services,1270.3
2000,Alaska,80,        Accommodation,(NA)
2000,Alaska,81,        Food services and drinking places,(NA)
2000,Alaska,82,    Other services (except government and government enterprises),739.8
2000,Alaska,83,  Government and government enterprises,9357.2
2000,Alaska,84,    Federal civilian,(NA)
2000,Alaska,85,    Military,(NA)
2000,Alaska,86,    State and local,(NA)
2000,Alaska,,Addenda:,
2000,Alaska,87,Natural resources and mining,15131.1
2000,Alaska,88,Trade,3637.8
2000,Alaska,89,Transportation and utilities,6720
2000,Alaska,91,Private goods-producing industries 2/,17898.4
2000,Alaska,92,Private services-providing industries 3/,27093.6
4000,Arizona,1,All industry total,321431.9
4000,Arizona,2,  Private industries,283510.1
4000,Arizona,3,"    Agriculture, forestry, fishing and hunting",3396.9
4000,Arizona,4,      Farms,(NA)
4000,Arizona,5,"      Forestry, fishing, and related activities",(NA)
4000,Arizona,6,"    Mining, quarrying, and oil and gas extraction",6440.3
4000,Arizona,7,      Oil and gas extraction,(NA)
4000,Arizona,8,      Mining (except oil and gas),(NA)
4000,Arizona,9,      Support activities for mining,(NA)
4000,Arizona,10,    Utilities,6177.8
4000,Arizona,11,    Construction,13391.9
4000,Arizona,12,    Manufacturing,29630.3
4000,Arizona,13,      Durable goods manufacturing,25110.3
4000,Arizona,14,        Wood product manufacturing,(NA)
4000,Arizona,15,        Nonmetallic mineral product manufacturing,(NA)
4000,Arizona,16,        Primary metal manufacturing,(NA)
4000,Arizona,17,        Fabricated metal product manufacturing,(NA)
4000,Arizona,18,        Machinery manufacturing,(NA)
4000,Arizona,19,        Computer and electronic product manufacturing,(NA)
4000,Arizona,20,"        Electrical equipment, appliance, and component manufacturing",(NA)
4000,Arizona,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",(NA)
4000,Arizona,22,        Other transportation equipment manufacturing,(NA)
4000,Arizona,23,        Furniture and related product manufacturing,(NA)
4000,Arizona,24,        Miscellaneous manufacturing,(NA)
4000,Arizona,25,      Nondurable goods manufacturing,4535.3
4000,Arizona,26,        Food and beverage and tobacco product manufacturing,(NA)
4000,Arizona,27,        Textile mills and textile product mills,(NA)
4000,Arizona,28,"        Apparel, leather, and allied product manufacturing",(NA)
4000,Arizona,29,        Paper manufacturing,(NA)
4000,Arizona,30,        Printing and related support activities,(NA)
4000,Arizona,31,        Petroleum and coal products manufacturing,(NA)
4000,Arizona,32,        Chemical manufacturing,(NA)
4000,Arizona,33,        Plastics and rubber products manufacturing,(NA)
4000,Arizona,34,    Wholesale trade,18066.5
4000,Arizona,35,    Retail trade,24247.6
4000,Arizona,36,    Transportation and warehousing,10535.3
4000,Arizona,37,      Air transportation,(NA)
4000,Arizona,38,      Rail transportation,(NA)
4000,Arizona,39,      Water transportation,(NA)
4000,Arizona,40,      Truck transportation,(NA)
4000,Arizona,41,      Transit and ground passenger transportation,(NA)
4000,Arizona,42,      Pipeline transportation,(NA)
4000,Arizona,43,      Other transportation and support activities,(NA)
4000,Arizona,44,      Warehousing and storage,(NA)
4000,Arizona,45,    Information,14332.8
4000,Arizona,46,      Publishing industries (except Internet),(NA)
4000,Arizona,47,      Motion picture and sound recording industries,(NA)
4000,Arizona,48,      Broadcasting (except Internet) and telecommunications,(NA)
4000,Arizona,49,"      Data processing, hosting, and other information services",(NA)
4000,Arizona,50,"    Finance, insurance, real estate, rental, and leasing",67339.9
4000,Arizona,51,      Finance and insurance,19329.5
4000,Arizona,52,"        Monetary Authorities- central bank, credit intermediation, and related services",(NA)
4000,Arizona,53,"        Securities, commodity contracts, and other financial investments and related activities",(NA)
4000,Arizona,54,        Insurance carriers and related activities,(NA)
4000,Arizona,55,"        Funds, trusts, and other financial vehicles",(NA)
4000,Arizona,56,      Real estate and rental and leasing,48108.1
4000,Arizona,57,        Real estate,(NA)
4000,Arizona,58,        Rental and leasing services and lessors of nonfinancial intangible assets,(NA)
4000,Arizona,59,    Professional and business services,38829.4
4000,Arizona,60,"      Professional, scientific, and technical services",19881.6
4000,Arizona,61,        Legal services,(NA)
4000,Arizona,62,        Computer systems design and related services,(NA)
4000,Arizona,63,"        Miscellaneous professional, scientific, and technical services",(NA)
4000,Arizona,64,      Management of companies and enterprises,4510.5
4000,Arizona,65,      Administrative and support and waste management and remediation services,14471.6
4000,Arizona,66,        Administrative and support services,(NA)
4000,Arizona,67,        Waste management and remediation services,(NA)
4000,Arizona,68,"    Educational services, health care, and social assistance",32022.7
4000,Arizona,69,      Educational services,3298.9
4000,Arizona,70,      Health care and social assistance,28787.9
4000,Arizona,71,        Ambulatory health care services,(NA)
4000,Arizona,72,        Hospitals,(NA)
4000,Arizona,73,        Nursing and residential care facilities,(NA)
4000,Arizona,74,        Social assistance,(NA)
4000,Arizona,75,"    Arts, entertainment, recreation, accommodation, and food services",13741.1
4000,Arizona,76,"      Arts, entertainment, and recreation",3334.3
4000,Arizona,77,"        Performing arts, spectator sports, museums, and related activities",(NA)
4000,Arizona,78,"        Amusement, gambling, and recreation industries",(NA)
4000,Arizona,79,      Accommodation and food services,10413.3
4000,Arizona,80,        Accommodation,(NA)
4000,Arizona,81,        Food services and drinking places,(NA)
4000,Arizona,82,    Other services (except government and government enterprises),5918.8
4000,Arizona,83,  Government and government enterprises,38141.1
4000,Arizona,84,    Federal civilian,(NA)
4000,Arizona,85,    Military,(NA)
4000,Arizona,86,    State and local,(NA)
4000,Arizona,,Addenda:,
4000,Arizona,87,Natural resources and mining,9954.5
4000,Arizona,88,Trade,42282.5
4000,Arizona,89,Transportation and utilities,16707
4000,Arizona,91,Private goods-producing industries 2/,53250.4
4000,Arizona,92,Private services-providing industries 3/,230444.6
5000,Arkansas,1,All industry total,119443.4
5000,Arkansas,2,  Private industries,105510.7
5000,Arkansas,3,"    Agriculture, forestry, fishing and hunting",3092.6
5000,Arkansas,4,      Farms,(NA)
5000,Arkansas,5,"      Forestry, fishing, and related activities",(NA)
5000,Arkansas,6,"    Mining, quarrying, and oil and gas extraction",2010.3
5000,Arkansas,7,      Oil and gas extraction,(NA)
5000,Arkansas,8,      Mining (except oil and gas),(NA)
5000,Arkansas,9,      Support activities for mining,(NA)
5000,Arkansas,10,    Utilities,2970.9
5000,Arkansas,11,    Construction,3761.5
5000,Arkansas,12,    Manufacturing,17586.6
5000,Arkansas,13,      Durable goods manufacturing,8729.2
5000,Arkansas,14,        Wood product manufacturing,(NA)
5000,Arkansas,15,        Nonmetallic mineral product manufacturing,(NA)
5000,Arkansas,16,        Primary metal manufacturing,(NA)
5000,Arkansas,17,        Fabricated metal product manufacturing,(NA)
5000,Arkansas,18,        Machinery manufacturing,(NA)
5000,Arkansas,19,        Computer and electronic product manufacturing,(NA)
5000,Arkansas,20,"        Electrical equipment, appliance, and component manufacturing",(NA)
5000,Arkansas,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",(NA)
5000,Arkansas,22,        Other transportation equipment manufacturing,(NA)
5000,Arkansas,23,        Furniture and related product manufacturing,(NA)
5000,Arkansas,24,        Miscellaneous manufacturing,(NA)
5000,Arkansas,25,      Nondurable goods manufacturing,8851.8
5000,Arkansas,26,        Food and beverage and tobacco product manufacturing,(NA)
5000,Arkansas,27,        Textile mills and textile product mills,(NA)
5000,Arkansas,28,"        Apparel, leather, and allied product manufacturing",(NA)
5000,Arkansas,29,        Paper manufacturing,(NA)
5000,Arkansas,30,        Printing and related support activities,(NA)
5000,Arkansas,31,        Petroleum and coal products manufacturing,(NA)
5000,Arkansas,32,        Chemical manufacturing,(NA)
5000,Arkansas,33,        Plastics and rubber products manufacturing,(NA)
5000,Arkansas,34,    Wholesale trade,9165.1
5000,Arkansas,35,    Retail trade,8874.1
5000,Arkansas,36,    Transportation and warehousing,4649.6
5000,Arkansas,37,      Air transportation,(NA)
5000,Arkansas,38,      Rail transportation,(NA)
5000,Arkansas,39,      Water transportation,(NA)
5000,Arkansas,40,      Truck transportation,(NA)
5000,Arkansas,41,      Transit and ground passenger transportation,(NA)
5000,Arkansas,42,      Pipeline transportation,(NA)
5000,Arkansas,43,      Other transportation and support activities,(NA)
5000,Arkansas,44,      Warehousing and storage,(NA)
5000,Arkansas,45,    Information,4659.1
5000,Arkansas,46,      Publishing industries (except Internet),(NA)
5000,Arkansas,47,      Motion picture and sound recording industries,(NA)
5000,Arkansas,48,      Broadcasting (except Internet) and telecommunications,(NA)
5000,Arkansas,49,"      Data processing, hosting, and other information services",(NA)
5000,Arkansas,50,"    Finance, insurance, real estate, rental, and leasing",16874.7
5000,Arkansas,51,      Finance and insurance,5116.7
5000,Arkansas,52,"        Monetary Authorities- central bank, credit intermediation, and related services",(NA)
5000,Arkansas,53,"        Securities, commodity contracts, and other financial investments and related activities",(NA)
5000,Arkansas,54,        Insurance carriers and related activities,(NA)
5000,Arkansas,55,"        Funds, trusts, and other financial vehicles",(NA)
5000,Arkansas,56,      Real estate and rental and leasing,11727.6
5000,Arkansas,57,        Real estate,(NA)
5000,Arkansas,58,        Rental and leasing services and lessors of nonfinancial intangible assets,(NA)
5000,Arkansas,59,    Professional and business services,13726.5
5000,Arkansas,60,"      Professional, scientific, and technical services",4671.2
5000,Arkansas,61,        Legal services,(NA)
5000,Arkansas,62,        Computer systems design and related services,(NA)
5000,Arkansas,63,"        Miscellaneous professional, scientific, and technical services",(NA)
5000,Arkansas,64,      Management of companies and enterprises,5833.7
5000,Arkansas,65,      Administrative and support and waste management and remediation services,3244.3
5000,Arkansas,66,        Administrative and support services,(NA)
5000,Arkansas,67,        Waste management and remediation services,(NA)
5000,Arkansas,68,"    Educational services, health care, and social assistance",11304.2
5000,Arkansas,69,      Educational services,728.9
5000,Arkansas,70,      Health care and social assistance,10581.2
5000,Arkansas,71,        Ambulatory health care services,(NA)
5000,Arkansas,72,        Hospitals,(NA)
5000,Arkansas,73,        Nursing and residential care facilities,(NA)
5000,Arkansas,74,        Social assistance,(NA)
5000,Arkansas,75,"    Arts, entertainment, recreation, accommodation, and food services",3519.6
5000,Arkansas,76,"      Arts, entertainment, and recreation",507.9
5000,Arkansas,77,"        Performing arts, spectator sports, museums, and related activities",(NA)
5000,Arkansas,78,"        Amusement, gambling, and recreation industries",(NA)
5000,Arkansas,79,      Accommodation and food services,3011.4
5000,Arkansas,80,        Accommodation,(NA)
5000,Arkansas,81,        Food services and drinking places,(NA)
5000,Arkansas,82,    Other services (except government and government enterprises),2552.9
5000,Arkansas,83,  Government and government enterprises,14031
5000,Arkansas,84,    Federal civilian,(NA)
5000,Arkansas,85,    Military,(NA)
5000,Arkansas,86,    State and local,(NA)
5000,Arkansas,,Addenda:,
5000,Arkansas,87,Natural resources and mining,5307.7
5000,Arkansas,88,Trade,18034.5
5000,Arkansas,89,Transportation and utilities,7619.3
5000,Arkansas,91,Private goods-producing industries 2/,27286
5000,Arkansas,92,Private services-providing industries 3/,78057.7
6000,California,1,All industry total,2792029.1
6000,California,2,  Private industries,2500549.6
6000,California,3,"    Agriculture, forestry, fishing and hunting",51423.7
6000,California,4,      Farms,(NA)
6000,California,5,"      Forestry, fishing, and related activities",(NA)
6000,California,6,"    Mining, quarrying, and oil and gas extraction",18457.6
6000,California,7,      Oil and gas extraction,(NA)
6000,California,8,      Mining (except oil and gas),(NA)
6000,California,9,      Support activities for mining,(NA)
6000,California,10,    Utilities,30366.2
6000,California,11,    Construction,87104.2
6000,California,12,    Manufacturing,310416.3
6000,California,13,      Durable goods manufacturing,201456.8
6000,California,14,        Wood product manufacturing,(NA)
6000,California,15,        Nonmetallic mineral product manufacturing,(NA)
6000,California,16,        Primary metal manufacturing,(NA)
6000,California,17,        Fabricated metal product manufacturing,(NA)
6000,California,18,        Machinery manufacturing,(NA)
6000,California,19,        Computer and electronic product manufacturing,(NA)
6000,California,20,"        Electrical equipment, appliance, and component manufacturing",(NA)
6000,California,21,"        Motor vehicles, bodies and trailers, and parts manufacturing",(NA)
6000,California,22,        Other transportation equipment manufacturing,(NA)
6000,California,23,        Furniture and related product manufacturing,(NA)
6000,California,24,        Miscellaneous manufacturing,(NA)
6000,California,25,      Nondurable goods manufacturing,109643.6
6000,California,26,        Food and beverage and tobacco product manufacturing,(NA)
6000,California,27,        Textile mills and textile product mills,(NA)
6000,California,28,"        Apparel, leather, and allied product manufacturing",(NA)
6000,California,29,        Paper manufacturing,(NA)
6000,California,30,        Printing and related support activities,(NA)
6000,California,31,        Petroleum and coal products manufacturing,(NA)
6000,California,32,        Chemical manufacturing,(NA)
6000,California,33,        Plastics and rubber products manufacturing,(NA)
6000,California,34,    Wholesale trade,148621
6000,California,35,    Retail trade,154286
6000,California,36,    Transportation and warehousing,72637.8
6000,California,37,      Air transportation,(NA)
6000,California,38,      Rail transportation,(NA)
6000,California,39,      Water transportation,(NA)
6000,California,40,      Truck transportation,(NA)
6000,California,41,      Transit and ground passenger transportation,(NA)
6000,California,42,      Pipeline transportation,(NA)
6000,California,43,      Other transportation and support activities,(NA)
6000,California,44,      Warehousing and storage,(NA)
6000,California,45,    Information,316926.3
6000,California,46,      Publishing industries (except Internet),(NA)
6000,California,47,      Motion picture and sound recording industries,(NA)
6000,California,48,      Broadcasting (except Internet) and telecommunications,(NA)
6000,California,49,"      Data processing, hosting, and other information services",(NA)
6000,California,50,"    Finance, insurance, real estate, rental, and leasing",558281
6000,California,51,      Finance and insurance,114952.9
6000,California,52,"        Monetary Authorities- central bank, credit intermediation, and related services",(NA)
6000,California,53,"        Securities, commodity contracts, and other financial investments and related activities",(NA)
6000,California,54,        Insurance carriers and related activities,(NA)
6000,California,55,"        Funds, trusts, and other financial vehicles",(NA)
6000,California,56,      Real estate and rental and leasing,444727.1
6000,California,57,        Real estate,(NA)
6000,California,58,        Rental and leasing services and lessors of nonfinancial intangible assets,(NA)
6000,California,59,    Professional and business services,397595.6
6000,California,60,"      Professional, scientific, and technical services",268395.4
6000,California,61,        Legal services,(NA)
6000,California,62,        Computer systems design and related services,(NA)
6000,California,63,"        Miscellaneous professional, scientific, and technical services",(NA)
